;Nominal Diameter##LENGTH##MILLIMETERS;Length##LENGTH##MILLIMETERS;Shank##OTHER##;Large Washer##OTHER##;Material##OTHER##;Thread Material##OTHER##
M6 x 45, Steel galvanized;6;45;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 50, Steel galvanized;6;50;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 55, Steel galvanized;6;55;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 55 w/shank, Steel galvanized;6;55;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 60, Steel galvanized;6;60;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 60 w/shank, Steel galvanized;6;60;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 65, Steel galvanized;6;65;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 65 w/shank, Steel galvanized;6;65;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 70, Steel galvanized;6;70;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 70 w/shank, Steel galvanized;6;70;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 75, Steel galvanized;6;75;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 75 w/shank, Steel galvanized;6;75;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 80, Steel galvanized;6;80;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 80 w/shank, Steel galvanized;6;80;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 85, Steel galvanized;6;85;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 85 w/shank, Steel galvanized;6;85;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 90, Steel galvanized;6;90;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 90 w/shank, Steel galvanized;6;90;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 100, Steel galvanized;6;100;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 100 w/shank, Steel galvanized;6;100;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 110, Steel galvanized;6;110;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 110 w/shank, Steel galvanized;6;110;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 120, Steel galvanized;6;120;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 120 w/shank, Steel galvanized;6;120;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 130, Steel galvanized;6;130;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 130 w/shank, Steel galvanized;6;130;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 140, Steel galvanized;6;140;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 140 w/shank, Steel galvanized;6;140;1;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 150, Steel galvanized;6;150;0;1;Steel galvanized;Steel galvanized, M6 thread
M6 x 150 w/shank, Steel galvanized;6;150;1;1;Steel galvanized;Steel galvanized, M6 thread
M8 x 8, Steel galvanized;8;8;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 10, Steel galvanized;8;10;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 12, Steel galvanized;8;12;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 14, Steel galvanized;8;14;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 16, Steel galvanized;8;16;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 18, Steel galvanized;8;18;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 20, Steel galvanized;8;20;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 22, Steel galvanized;8;22;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 25, Steel galvanized;8;25;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 30, Steel galvanized;8;30;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 35, Steel galvanized;8;35;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 40, Steel galvanized;8;40;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 45, Steel galvanized;8;45;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 50, Steel galvanized;8;50;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 55, Steel galvanized;8;55;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 55 w/shank, Steel galvanized;8;55;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 60, Steel galvanized;8;60;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 60 w/shank, Steel galvanized;8;60;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 65, Steel galvanized;8;65;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 65 w/shank, Steel galvanized;8;65;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 70, Steel galvanized;8;70;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 70 w/shank, Steel galvanized;8;70;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 75, Steel galvanized;8;75;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 75 w/shank, Steel galvanized;8;75;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 80, Steel galvanized;8;80;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 80 w/shank, Steel galvanized;8;80;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 85, Steel galvanized;8;85;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 85 w/shank, Steel galvanized;8;85;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 90, Steel galvanized;8;90;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 90 w/shank, Steel galvanized;8;90;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 95, Steel galvanized;8;95;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 95 w/shank, Steel galvanized;8;95;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 100, Steel galvanized;8;100;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 100 w/shank, Steel galvanized;8;100;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 110, Steel galvanized;8;110;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 110 w/shank, Steel galvanized;8;110;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 120, Steel galvanized;8;120;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 120 w/shank, Steel galvanized;8;120;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 130, Steel galvanized;8;130;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 130 w/shank, Steel galvanized;8;130;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 140, Steel galvanized;8;140;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 140 w/shank, Steel galvanized;8;140;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 150, Steel galvanized;8;150;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 150 w/shank, Steel galvanized;8;150;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 160, Steel galvanized;8;160;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 160 w/shank, Steel galvanized;8;160;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 170, Steel galvanized;8;170;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 170 w/shank, Steel galvanized;8;170;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 180, Steel galvanized;8;180;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 180 w/shank, Steel galvanized;8;180;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 190, Steel galvanized;8;190;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 190 w/shank, Steel galvanized;8;190;1;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 200, Steel galvanized;8;200;0;1;Steel galvanized;Steel galvanized, M8 thread
M8 x 200 w/shank, Steel galvanized;8;200;1;1;Steel galvanized;Steel galvanized, M8 thread
M10 x 10, Steel galvanized;10;10;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 12, Steel galvanized;10;12;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 16, Steel galvanized;10;16;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 18, Steel galvanized;10;18;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 20, Steel galvanized;10;20;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 22, Steel galvanized;10;22;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 25, Steel galvanized;10;25;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 28, Steel galvanized;10;28;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 30, Steel galvanized;10;30;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 35, Steel galvanized;10;35;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 40, Steel galvanized;10;40;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 45, Steel galvanized;10;45;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 50, Steel galvanized;10;50;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 55, Steel galvanized;10;55;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 55 w/shank, Steel galvanized;10;55;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 60, Steel galvanized;10;60;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 60 w/shank, Steel galvanized;10;60;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 65, Steel galvanized;10;65;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 65 w/shank, Steel galvanized;10;65;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 70, Steel galvanized;10;70;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 70 w/shank, Steel galvanized;10;70;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 75, Steel galvanized;10;75;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 75 w/shank, Steel galvanized;10;75;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 80, Steel galvanized;10;80;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 80 w/shank, Steel galvanized;10;80;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 85, Steel galvanized;10;85;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 85 w/shank, Steel galvanized;10;85;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 90, Steel galvanized;10;90;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 90 w/shank, Steel galvanized;10;90;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 100, Steel galvanized;10;100;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 100 w/shank, Steel galvanized;10;100;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 110, Steel galvanized;10;110;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 110 w/shank, Steel galvanized;10;110;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 120, Steel galvanized;10;120;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 120 w/shank, Steel galvanized;10;120;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 130, Steel galvanized;10;130;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 130 w/shank, Steel galvanized;10;130;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 140, Steel galvanized;10;140;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 140 w/shank, Steel galvanized;10;140;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 150, Steel galvanized;10;150;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 150 w/shank, Steel galvanized;10;150;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 160, Steel galvanized;10;160;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 160 w/shank, Steel galvanized;10;160;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 170, Steel galvanized;10;170;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 170 w/shank, Steel galvanized;10;170;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 180, Steel galvanized;10;180;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 180 w/shank, Steel galvanized;10;180;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 190, Steel galvanized;10;190;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 190 w/shank, Steel galvanized;10;190;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 200, Steel galvanized;10;200;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 200 w/shank, Steel galvanized;10;200;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 220, Steel galvanized;10;220;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 220 w/shank, Steel galvanized;10;220;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 240, Steel galvanized;10;240;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 240 w/shank, Steel galvanized;10;240;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 280, Steel galvanized;10;280;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 280 w/shank, Steel galvanized;10;280;1;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 300, Steel galvanized;10;300;0;1;Steel galvanized;Steel galvanized, M10 thread
M10 x 300 w/shank, Steel galvanized;10;300;1;1;Steel galvanized;Steel galvanized, M10 thread
M12 x 10, Steel galvanized;12;10;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 12, Steel galvanized;12;12;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 16, Steel galvanized;12;16;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 18, Steel galvanized;12;18;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 20, Steel galvanized;12;20;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 22, Steel galvanized;12;22;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 25, Steel galvanized;12;25;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 28, Steel galvanized;12;28;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 30, Steel galvanized;12;30;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 35, Steel galvanized;12;35;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 40, Steel galvanized;12;40;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 45, Steel galvanized;12;45;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 50, Steel galvanized;12;50;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 55, Steel galvanized;12;55;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 55 w/shank, Steel galvanized;12;55;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 60, Steel galvanized;12;60;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 60 w/shank, Steel galvanized;12;60;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 65, Steel galvanized;12;65;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 65 w/shank, Steel galvanized;12;65;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 70, Steel galvanized;12;70;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 70 w/shank, Steel galvanized;12;70;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 75, Steel galvanized;12;75;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 75 w/shank, Steel galvanized;12;75;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 80, Steel galvanized;12;80;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 80 w/shank, Steel galvanized;12;80;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 85, Steel galvanized;12;85;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 85 w/shank, Steel galvanized;12;85;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 90, Steel galvanized;12;90;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 90 w/shank, Steel galvanized;12;90;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 100, Steel galvanized;12;100;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 100 w/shank, Steel galvanized;12;100;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 110, Steel galvanized;12;110;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 110 w/shank, Steel galvanized;12;110;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 120, Steel galvanized;12;120;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 120 w/shank, Steel galvanized;12;120;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 130, Steel galvanized;12;130;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 130 w/shank, Steel galvanized;12;130;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 140, Steel galvanized;12;140;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 140 w/shank, Steel galvanized;12;140;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 150, Steel galvanized;12;150;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 150 w/shank, Steel galvanized;12;150;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 160, Steel galvanized;12;160;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 160 w/shank, Steel galvanized;12;160;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 170, Steel galvanized;12;170;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 170 w/shank, Steel galvanized;12;170;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 180, Steel galvanized;12;180;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 180 w/shank, Steel galvanized;12;180;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 190, Steel galvanized;12;190;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 190 w/shank, Steel galvanized;12;190;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 200, Steel galvanized;12;200;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 200 w/shank, Steel galvanized;12;200;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 220, Steel galvanized;12;220;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 220 w/shank, Steel galvanized;12;220;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 240, Steel galvanized;12;240;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 240 w/shank, Steel galvanized;12;240;1;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 300, Steel galvanized;12;300;0;1;Steel galvanized;Steel galvanized, M12 thread
M12 x 300 w/shank, Steel galvanized;12;300;1;1;Steel galvanized;Steel galvanized, M12 thread
M14 x 16, Steel galvanized;14;16;0;1;Steel galvanized;Steel galvanized, M14 thread
M14 x 20, Steel galvanized;14;20;0;1;Steel galvanized;Steel galvanized, M14 thread
M14 x 25, Steel galvanized;14;25;0;1;Steel galvanized;Steel galvanized, M14 thread
M14 x 30, Steel galvanized;14;30;0;1;Steel galvanized;Steel galvanized, M14 thread
M14 x 35, Steel galvanized;14;35;0;1;Steel galvanized;Steel galvanized, M14 thread
M14 x 40, Steel galvanized;14;40;0;1;Steel galvanized;Steel galvanized, M14 thread
